,price,Number of Gears,Assembled,Engine CC,Direct Injection,Aspiration,Wheel Base (mm),Front Thread,Fuel Tank (litres),Rear Brakes,vehicle_age,volume,specific_power,brand_tier
1560,39888.0,4,Official Import,1998,Multi-Point Injected,Aspirated,2775.0,1575.0,70.0,Discs,13,12908805000.0,72.64999505782346,B
1561,168800.0,7,Official Import,1595,Direct Injection,Turbo intercooled,2699.0,1575.0,50.0,Discs,5,11781794320.0,81.41112618724559,A
1562,13800.0,4,Official Import,1795,Multi-Point Injected,Aspirated,2475.0,1575.0,50.0,Discs,26,9853723620.0,66.79887276902203,C
1563,103800.0,6,Official Import,1998,Direct Injection,Aspirated,2570.0,1520.0,50.0,Ventilated discs,10,10724550000.0,119.11710402496695,B
1564,109800.0,6,Locally Built,2488,Direct Injection,Aspirated,2700.0,1520.0,56.0,Discs,5,14064960000.0,91.16884093386969,B
1565,59800.0,7,Official Import,1395,Direct Injection,Turbo intercooled,2637.0,1555.0,50.0,Discs,8,11332214016.0,70.93808523920322,A
1566,123900.0,7,Locally Built,1498,Direct Injection,Turbocharged,2700.0,1547.0,47.0,Discs,3,11794387920.0,98.10370639205189,B
1567,129800.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2968.0,1600.0,70.0,Ventilated discs,7,13343703240.0,81.2505519738585,A
1568,72800.0,6,Official Import,1799,Direct Injection,Turbocharged,2670.0,1562.0,60.0,Discs,5,14016645566.0,82.22361247653946,D
1569,43900.0,4,Locally Built,1329,Multi-Point Injected,Aspirated,2500.0,1485.0,36.0,Drums,4,10238104875.0,71.97514963254793,D
1570,47900.0,5,Parallel Import,1797,Direct Injection,Turbo intercooled,2760.0,1485.0,66.0,Discs,12,11611185840.0,81.9844439772966,A
1571,33900.0,4,Parallel Import,1794,Multi-Point Injected,Aspirated,2750.0,1480.0,60.0,Drums,16,12262477500.0,102.75545350172214,B
1572,17800.0,5,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Drums,10,9492248250.0,71.48468185388845,D
1573,50999.0,7,Locally Built,2488,Multi-Point Injected,Aspirated,2705.0,1575.0,60.0,Ventilated discs,8,14482832000.0,79.16373467649346,C
1574,27800.0,5,Locally Built,1497,Multi-Point Injected,Aspirated,2550.0,1475.0,42.0,Discs,12,10950801750.0,77.20020586721564,B
1576,107800.0,5,Locally Built,1799,Multi-Point Injected,Aspirated,2610.0,1535.0,50.0,Discs,3,12485840700.0,82.72590535693624,B
1577,99800.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2775.0,1585.0,65.0,Discs,6,13375083750.0,75.60238025558482,B
1578,26800.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Drums,10,9492248250.0,70.0107708878289,D
1579,17800.0,4,Locally Built,1332,Multi-Point Injected,Aspirated,2465.0,1446.0,40.0,Drums,8,10924300800.0,67.19954728726039,D
1580,45988.0,4,Locally Built,1329,Multi-Point Injected,Aspirated,2500.0,1485.0,36.0,Drums,2,10238104875.0,71.97514963254793,D
1581,33900.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2620.0,1565.0,58.0,Drums,13,13820352000.0,72.68850552432642,B
1582,64900.0,7,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1476.0,40.0,Drums,6,11115606600.0,80.96947450811044,B
1583,10900.0,5,Locally Built,989,Multi-Point Injected,Aspirated,2390.0,1300.0,36.0,Drums,13,8067881250.0,57.26086548390125,D
1584,39988.0,4,Locally Built,998,Multi-Point Injected,Aspirated,2455.0,1410.0,36.0,Drums,2,10301985000.0,57.66621438263229,D
1585,61988.0,4,Locally Built,1496,Multi-Point Injected,Aspirated,2500.0,1475.0,36.0,Drums,1,10238104875.0,74.99089916272297,D
1586,5800.0,4,Official Import,1598,Multi-Point Injected,Aspirated,2600.0,1480.0,60.0,Discs,17,11216812500.0,79.35930105569713,C
1587,7800.0,5,Locally Built,1332,Multi-Point Injected,Aspirated,2465.0,1480.0,40.0,Drums,13,10741943520.0,69.1663633054241,D
1588,21800.0,6,Locally Built,1597,Multi-Point Injected,Aspirated,2650.0,1542.0,50.0,Discs,9,12365428152.0,61.39115742044495,D
1589,75880.0,6,Locally Built,1799,Multi-Point Injected,Aspirated,2610.0,1535.0,50.0,Discs,5,12212393640.0,85.4414875183729,B
1590,58800.0,4,Locally Built,1496,Multi-Point Injected,Aspirated,2685.0,1535.0,45.0,Drums,4,13080145500.0,58.55338691159587,D
1591,138888.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2933.0,1535.0,85.0,Ventilated discs,6,16684497816.0,79.32139735163662,A
1592,32800.0,4,Official Import,1998,Multi-Point Injected,Aspirated,2775.0,1575.0,70.0,Discs,15,12908805000.0,75.65620174987133,B
1593,44800.0,4,Locally Built,1598,Multi-Point Injected,Aspirated,2600.0,1470.0,52.0,Drums,9,12122955000.0,62.93832044596295,C
1594,59800.0,4,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1492.0,40.0,Drums,6,11114052796.0,82.15801725318362,B
1595,9800.0,4,Locally Built,989,Multi-Point Injected,Aspirated,2360.0,1300.0,40.0,Drums,21,8373840000.0,47.45060823052368,D
1596,39800.0,5,Parallel Import,2354,Multi-Point Injected,Aspirated,2830.0,1300.0,40.0,Drums,19,12583359973.558815,172.54766629281337,B
1597,116800.0,7,Parallel Import,1986,Multi-Point Injected,Aspirated,2660.0,1560.0,60.0,Discs,9,14637428000.0,71.32061212922727,B
1598,69800.0,7,Locally Built,1496,Multi-Point Injected,Aspirated,2550.0,1475.0,42.0,Drums,4,11058075000.0,71.2953091684435,B
1599,163990.0,9,Official Import,1991,Direct Injection,Turbo intercooled,2840.0,1563.0,66.0,Discs,7,11950658940.0,108.18687626953988,A
1600,86800.0,8,Official Import,1984,Direct Injection,Turbo intercooled,2912.0,1563.0,66.0,Ventilated discs,9,13401583050.0,80.3673938002296,A
1601,33888.0,7,Official Import,1390,Direct Injection,Turbo supercharged intercooled,2575.0,1541.0,55.0,Discs,11,11339113968.0,87.73180387555243,B
1602,33888.0,6,Locally Built,1797,Multi-Point Injected,Aspirated,2700.0,1551.0,55.0,Discs,10,11618883750.0,82.2485661333304,D
1603,5999.0,5,Locally Built,1468,Multi-Point Injected,Aspirated,2500.0,1450.0,50.0,Drums,18,9935436000.0,66.83002895967921,D
1604,23800.0,5,Locally Built,1487,Carburettor Single,Aspirated,2350.0,1450.0,55.0,Drums,19,14671178500.0,60.88958194104106,C
1605,40800.0,4,Locally Built,1329,Multi-Point Injected,Aspirated,2500.0,1485.0,36.0,Drums,4,10238104875.0,71.97514963254793,D
1606,14800.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2711.0653876272513,1485.0,36.0,Drums,17,12583359973.558815,117.43313887415714,B
1607,36800.0,4,Official Import,2477,Direct Injection,Turbo intercooled,3000.0,1505.0,75.0,Drums,15,16478100000.0,54.56588027603915,B
1608,51800.0,4,Locally Built,2494,Direct Injection,Turbo intercooled,3085.0,1540.0,76.0,Drums,13,17453694250.0,40.814693289584255,B
1609,56800.0,7,Locally Built,1496,Multi-Point Injected,Aspirated,2550.0,1540.0,42.0,Discs,6,11058075000.0,71.93760925104209,B
1610,26800.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1540.0,40.0,Discs,8,9658914750.0,70.0107708878289,D
1611,146800.0,7,Locally Built,1991,Direct Injection,Turbo intercooled,2840.0,1540.0,66.0,Discs,7,12230553720.0,93.72930568998012,A
1612,28800.0,6,Locally Built,1591,Multi-Point Injected,Aspirated,2700.0,1549.0,66.0,Discs,10,11618883750.0,66.73119046406194,D
1613,59800.0,6,Locally Built,1498,Multi-Point Injected,Aspirated,2711.0653876272513,1549.0,66.0,Discs,6,12583359973.558815,78.95675207579848,B
1614,115800.0,6,Locally Built,1498,Direct Injection,Turbocharged,2660.0,1601.0,66.0,Discs,5,14277074280.0,93.34403807275997,B
1615,42800.0,7,Locally Built,1497,Multi-Point Injected,Aspirated,2600.0,1492.0,40.0,Drums,9,11115606600.0,82.3847643109201,B
1616,21800.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Drums,9,9492248250.0,70.74004975124377,D
1617,12800.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Drums,16,9600390000.0,68.70409855484482,D
1618,122800.0,7,Official Import,1595,Direct Injection,Turbo intercooled,2699.0,1553.0,50.0,Discs,7,10947776080.0,83.45369924570694,A
1619,16800.0,4,Locally Built,1496,Multi-Point Injected,Aspirated,2500.0,1455.0,45.0,Drums,17,10422512625.0,84.73258706467662,B
1620,20800.0,4,Official Import,1998,Multi-Point Injected,Aspirated,2640.0,1530.0,55.0,Discs,14,11478348250.0,88.0429314103639,B
1621,36800.0,4,Official Import,1998,Multi-Point Injected,Aspirated,2775.0,1575.0,70.0,Discs,13,12908805000.0,72.64999505782346,B
1622,69800.0,6,Locally Built,1998,Direct Injection,Aspirated,2700.0,1575.0,51.0,Discs,5,11920595000.0,81.54591282000592,B
1623,94800.0,10,Official Import,1996,Direct Injection,Twin Turbo intercooled,3220.0,1560.0,80.0,Drums,5,18650681280.0,73.72691274610251,B
1624,53800.0,5,Locally Built,1997,Multi-Point Injected,Aspirated,2670.0,1500.0,50.0,Discs,8,11395873125.0,91.08003290633447,B
1625,37800.0,4,Locally Built,1329,Multi-Point Injected,Aspirated,2500.0,1485.0,36.0,Drums,4,10238104875.0,71.97514963254793,D
1626,240800.0,8,Locally Built,1998,Direct Injection,Twin-scroll turbo,2851.0,1589.0,59.0,Ventilated discs,2,12345797205.0,124.61962034487756,A
1627,12800.0,4,Locally Built,1597,Multi-Point Injected,Aspirated,2600.0,1475.0,50.0,Discs,12,11105422350.0,66.53479590001798,D
1628,52800.0,7,Official Import,1987,Multi-Point Injected,Aspirated,2700.0,1475.0,55.0,Discs,9,11979475200.0,83.55903878291937,B
1629,109800.0,6,Locally Built,1998,Direct Injection,Aspirated,2775.0,1580.0,70.0,Discs,6,13011337500.0,84.20734167002824,B
1630,74800.0,6,Locally Built,2359,Multi-Point Injected,Aspirated,2780.0,1633.0,71.0,Discs,7,15222627000.0,86.22428398547801,C
1631,56800.0,5,Locally Built,2354,Multi-Point Injected,Aspirated,2800.0,1633.0,70.0,Discs,6,13661302500.0,87.99649958675676,D
1632,259999.0,9,Locally Built,1496,Direct Injection,Twin-scroll turbo,2865.0,1601.0,70.0,Discs,1,12425480340.0,92.26594301221168,A
1633,112800.0,6,Locally Built,1998,Direct Injection,Aspirated,2700.0,1601.0,56.0,Discs,5,14023100000.0,78.32972541870798,B
1634,14888.0,6,Official Import,1598,Multi-Point Injected,Aspirated,2525.0,1509.0,48.0,Drums,8,11578146005.0,55.0681705973947,C
1635,220000.0,6,Parallel Import,2693,Multi-Point Injected,Aspirated,2790.0,1585.0,48.0,Drums,5,16825981250.0,57.924662402274336,B
1636,25000.0,4,Locally Built,1497,Multi-Point Injected,Aspirated,2550.0,1470.0,42.0,Discs,14,10672600000.0,73.61383129600866,B
1637,122000.0,4,Locally Built,1498,Direct Injection,Turbocharged,2660.0,1601.0,42.0,Discs,4,14277074280.0,92.98247304471829,B
1638,245000.0,7,Official Import,1991,Direct Injection,Twin-scroll turbo,2699.0,1569.0,56.0,Ventilated discs,6,11904592392.0,179.38697678798437,A
1639,52900.0,6,Official Import,1496,Direct Injection,Aspirated,2570.0,1569.0,44.0,Discs,7,10288141500.0,79.85900754529932,B
1640,50400.0,6,Locally Built,1561,Multi-Point Injected,Turbocharged,2730.0,1569.0,55.0,Discs,4,14102077590.0,71.31577606846314,D
1641,158000.0,8,Locally Built,1997,Direct Injection,Twin-scroll turbo,2933.0,1569.0,85.0,Ventilated discs,6,16684497816.0,79.32139735163662,A
1642,9988.0,5,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Drums,16,9600390000.0,69.81222917669716,D
1643,17999.0,7,Locally Built,1561,Multi-Point Injected,Turbocharged,2650.0,1542.0,50.0,Discs,10,12365428152.0,77.96836711962575,D
